epoch,phase,class_index,class_name,support,tp,fp,fn,tn,precision,recall,f1,average_precision,false_positive_rate,false_negative_rate
15,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99981,0.0,0.00588
15,fine_tuning,4,none,111,101,9,10,3374,0.91818,0.90991,0.91403,0.98279,0.00266,0.09009
16,fine_tuning,0,plastic,1220,1168,81,52,2193,0.93515,0.95738,0.94613,0.98559,0.03562,0.04262
16,fine_tuning,1,paper,1429,1353,57,76,2008,0.95957,0.94682,0.95315,0.99056,0.0276,0.05318
16,fine_tuning,2,metal,394,378,7,16,3093,0.98182,0.95939,0.97047,0.99441,0.00226,0.04061
16,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99985,0.0,0.00588
16,fine_tuning,4,none,111,102,10,9,3373,0.91071,0.91892,0.9148,0.98202,0.00296,0.08108
17,fine_tuning,0,plastic,1220,1159,53,61,2221,0.95627,0.95,0.95312,0.98724,0.02331,0.05
17,fine_tuning,1,paper,1429,1373,60,56,2005,0.95813,0.96081,0.95947,0.99096,0.02906,0.03919
17,fine_tuning,2,metal,394,384,8,10,3092,0.97959,0.97462,0.9771,0.99412,0.00258,0.02538
17,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99982,0.0,0.00588
17,fine_tuning,4,none,111,108,11,3,3372,0.90756,0.97297,0.93913,0.97406,0.00325,0.02703
18,fine_tuning,0,plastic,1220,1176,73,44,2201,0.94155,0.96393,0.95261,0.9871,0.0321,0.03607
18,fine_tuning,1,paper,1429,1355,45,74,2020,0.96786,0.94822,0.95794,0.99089,0.02179,0.05178
18,fine_tuning,2,metal,394,382,9,12,3091,0.97698,0.96954,0.97325,0.99425,0.0029,0.03046
18,fine_tuning,3,organic_waste,340,339,1,1,3153,0.99706,0.99706,0.99706,0.99972,0.00032,0.00294
18,fine_tuning,4,none,111,104,10,7,3373,0.91228,0.93694,0.92444,0.98317,0.00296,0.06306
19,fine_tuning,0,plastic,1220,1168,79,52,2195,0.93665,0.95738,0.9469,0.98543,0.03474,0.04262
19,fine_tuning,1,paper,1429,1348,49,81,2016,0.96492,0.94332,0.954,0.99066,0.02373,0.05668
19,fine_tuning,2,metal,394,384,13,10,3087,0.96725,0.97462,0.97092,0.99505,0.00419,0.02538
19,fine_tuning,3,organic_waste,340,339,0,1,3154,1.0,0.99706,0.99853,0.99988,0.0,0.00294
19,fine_tuning,4,none,111,105,9,6,3374,0.92105,0.94595,0.93333,0.98368,0.00266,0.05405
20,fine_tuning,0,plastic,1220,1174,84,46,2190,0.93323,0.9623,0.94754,0.98529,0.03694,0.0377
20,fine_tuning,1,paper,1429,1347,46,82,2019,0.96698,0.94262,0.95464,0.99118,0.02228,0.05738
20,fine_tuning,2,metal,394,384,11,10,3089,0.97215,0.97462,0.97338,0.99425,0.00355,0.02538
20,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99987,0.0,0.00588
20,fine_tuning,4,none,111,103,7,8,3376,0.93636,0.92793,0.93213,0.983,0.00207,0.07207
21,fine_tuning,0,plastic,1220,1153,53,67,2221,0.95605,0.94508,0.95054,0.98791,0.02331,0.05492
21,fine_tuning,1,paper,1429,1375,66,54,1999,0.9542,0.96221,0.95819,0.99091,0.03196,0.03779
21,fine_tuning,2,metal,394,385,13,9,3087,0.96734,0.97716,0.97222,0.99269,0.00419,0.02284
21,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99905,0.0,0.00588
21,fine_tuning,4,none,111,104,7,7,3376,0.93694,0.93694,0.93694,0.98459,0.00207,0.06306
22,fine_tuning,0,plastic,1220,1166,60,54,2214,0.95106,0.95574,0.95339,0.98676,0.02639,0.04426
22,fine_tuning,1,paper,1429,1367,57,62,2008,0.95997,0.95661,0.95829,0.99103,0.0276,0.04339
22,fine_tuning,2,metal,394,386,11,8,3089,0.97229,0.9797,0.97598,0.99453,0.00355,0.0203
22,fine_tuning,3,organic_waste,340,338,0,2,3154,1.0,0.99412,0.99705,0.99907,0.0,0.00588
